title,abrev
ampère(s),A
are(s),a
argônio,A
assinado(a),a
"decimilimícron(s), ångström",Å
aceite,A.
alto (música),A.
arroba(s),a.
assinado(a),a.
austral,A.
autor,A.
alto-alemão,a.al.
"Artium Baccalaureus, bacharel de artes, bacharel em artes",A.B.
"anni currentis ou anno currente, do corrente ano",a.c.
"anno Christi, no ano de Cristo, na era cristã",A.C.
antes de Cristo,a.C.
"misto anestésico de álcool, clorofórmio e éter",a.C.e.
aguarda deferimento,A.D.
"anno Domini, no ano do Senhor, na era cristã",A.D.
"ante diem, antes do dia",a.d.
antes da era comum (com ou sem pontos — ver E.C.),A.E.C.
"antes da era comum (preferencialmente em versalete, com ou sem pontos — ver e.c.)",a.e.c.
"anno Hegirae, no ano da Hégira, na era islâmica",A.H.
antes da Hégira,a.H.
"anno mundi, no ano do mundo",A.M.
"ante meridiem, antes do meio-dia",a.m.
"Artium Magister, mestre de artes, mestre em artes",A.M.
"ad multos annos, por muitos anos",a.m.a.
"Ad Maiorem Dei Gloriam, para a maior glória de Deus",A.M.D.G.
a protestar (comércio),a.p.
ascensão reta,A.R.
anglo-saxão,a.s.
anglo-saxão,a.-s.
a tempo (música),a.t.
a tempo (música),A.t.
"anno urbe condita, no ano da fundação da cidade",A.U.C.
avaria marítima,A.V.
"ab urbe condita, da fundação da cidade (de Roma)",A.V.C.
"anno urbe condita, no ano da fundação da cidade (de Roma)",A.V.C.
ao(s) cuidado(s),A/C
"aos cuidados, ao cuidado de",a/c
em partes iguais,ãã aná.
assinados(as),aa
Alcoólicos Anônimos,AA
estação meteorológica,AA
tamanho médio de pilhas,AA
assinados(as),aa.
autores,AA.
cubo (em matemática antiga),AAA
"nas moedas e monumentos romanos: aurum argentum et aes (ouro, prata e bronze)",AAA
nas moedas e monumentos romanos: os três Augustos,AAA
número de área (em meteorologia),AAA
tamanho pequeno de pilhas,AAA
"ab initio, a partir do início, desde o início",ab init.
abade,Ab.
abade,Ab.e
abecedário,abc.
abissínio,abis.
abissínio,abissín.
ablativo,abl.
abreviatura,abr.
abril,abr.
abreviação,abrev.
abreviadamente,abrev.
abreviado,abrev.
abreviatura,abrev.
absolutamente,abs.
absoluto,abs.
grau absoluto,åbs.
absoluto,absol.
abstrato,abstr.
,abstrsmo abstracionismo
abusivamente,abus.
acre(s),ac
actínio,Ac
"ft acre-foot (feet), acre-pé",ac.
academia,acad.
acadêmico,acad.
academicismo,academ.
acadêmico,acadêm.
,acadsmo academicismo
accessit (classificação escolar inferior ao prêmio),acc.
açorianismo,açor.
açoriano,açor.
acusativo,acus.
acústica,acúst.
"ad finem, até o fim",ad fin.
"ad infinitum, até o infinito, inumeravelmente",ad infin.
"ad initium, no início, logo no início",ad init.
"ad interim, interinamente, no ínterim",ad int.
"ad libitum, à vontade, a gosto",ad lib.
"ad locum, ao lugar, para o lugar",ad loc.
"ad valorem, pelo valor",ad val.
adágio,ad.
adiado,ad.
"adagio, lentamente",adag.
adaptação,adapt.
"adde ou addatur, junta, junte-se",add
aditiva,adit.
adjetivo,adj.
adjetivo biforme,adj. bif.
adjetivo e substantivo de dois gêneros,adj. s.2g.
adjetivo e substantivo de dois gêneros e dois números,adj. s.2g.2n.
adjetivo e substantivo feminino,adj. s.f.
adjetivo e substantivo masculino,adj. s.m.
adjetivo uniforme,adj. unif.
adjetivo de dois gêneros,adj.2g.
adjetivo de dois gêneros e substantivo feminino,adj.2g. s.f.
adjetivo de dois gêneros e substantivo masculino,adj.2g. s.m.
adjetivo de dois gêneros e dois números,adj.2g.2n.
adjetivamente,adjet.
administração,adm.
administração eclesiástica,adm. ecl.
administração pública,adm. púb.
administração romana,adm. rom.
admiração,admir.
adverbial,adv.
advérbio,adv.
advocacia,Adv.
advérbio de afirmação,adv. af.
advérbio de confirmação,adv. conf.
advérbio de designação,adv. design.
advérbio de dúvida,adv. dúv.
advérbio de exclusão,adv. excl.
advérbio interrogativo,adv. interr.
advérbio de lugar,adv. lug.
advérbio de lugar,adv. lugar
advérbio de modo,adv. mod.
advérbio de modo,adv. modo
advérbio de negação,adv. neg.
advérbio numeral,adv. num.
advérbio de quantidade,adv. quant.
advérbio relativo,adv. rel.
advérbio de tempo,adv. temp.
advogado,Adv.º
advogado,adv.º
adverbialmente,adverb.
advocacia,advoc.
antes da era comum (com ou sem pontos — ver EC),AEC
"antes da era comum (preferencialmente em versalete, com ou sem pontos — ver ec)",aec
aeronáutica,aer.
aerovia,aer.
aeronáutica militar,aer. mil.
aerofotogrametria,aerof.
aeronáutica,aeron.
aerostática,aerost.
"aetate, na idade de",aet.
"aetate, na idade de",aetat.
afeiçoado,af.o
afetuoso,af.o
aférese,afér.
afluente,afl.
afluentes,afls.
aforismo,afor.
africânder,afr.
africanismo,afr.
africano(a),afr.
africanismo,afric.
afro-lusitano,afrolus
afro-lusitanismo,afrolus.
"argentum, prata",Ag
agosto,ag.
águas e florestas,ág. e fl.
aglomerado,agl.
aglutinação,agl.
agnome,agn.
agosto,ago.
Agente de Polícia Civil,agpc
agricultura,agric.
agrimensura,agrim.
agrologia,agrol.
agronomia,agron.
"ampere(s)-hora, ampère(s)-hora",Ah
ajudante,aj.
ajudante,aj.te
alumínio,Al
alameda (toponimicamente),Al.
alemão,al.
"alias, aliter, por outras palavras, de outro modo",al.
alusão histórica,al. hist.
alusão literária,al. lit.
alusão mitológica,al. mit.
alatinado,alat.
albanês,alb.
"albardilha, cutelaria",alb.
alfabético,alf.
alfabeto,alf.
alferes,alf.
alfabeto arábico,alf. ar.
alfabeto arábico,alf. aráb.
alfabeto cirílico,alf. cir.
alfabeto grego,alf. gr.
alfabeto hebraico,alf. hebr.
alfabeto latino,alf. lat.
alfaiataria,alfaiat.
álgebra abstrata,álg. abst.
algarismo,alg.
álgebra,álg.
álgebra moderna,álg. mod.
álgebra superior,álg. sup.
algarismo,algar.
algarvio,algv.
almanaque,alm.
almirante,ALM.
almirante,alm.
almude(s),alm.
almirante-deesquadra,alm.-esqdra
almirante-deesquadra,Alm.-Esqdra
almirante,Alm.te
alopatia,alop.
alpinismo,alp.
alqueire(s),alq
alquimia,alq.
alquilaria,alquil.
alsaciano,als.
altitude,alt.
alto,alt.
altura,alt.
alto-alemão,alt.-al.
altanaria,altan.
alteração,alter.
alternação,altern.
altitude,altit.
alto-alemão,alto-al.
alusão literária,alus. lit.
alusão literária,alusão lit.
alvará,alv.
alvenaria,alv.
alveitaria,alveit.
alvenaria,alven.
,Am amerício
advérbio de modo,am.
americano,am.
amiga,am.a
amigo,am.o
amárico,amár.
americanismo,amer.
americano,amer.
ânodo,An
anual,an.
análise,anál.
analítico,anal.
analogia,anal.
analógico,anal.
análise(s) clínica(s),anál. clín.
análise matemática,anál. mat.
anamita,anam.
anarquismo,anarq.
anatomia,anat.
andamento (música),and.
"andante, andante",and.
anestesiologia,anes.
angolar,ang.
anglicismo,angl.
anglo-saxão,angl.-sax.
angolismo,angol.
animal,anim.
anônimo,anôn.
anspeçada,ansp.a
antigo altoalemão,ant. a.-al.
antigo altoalemão,ant. alt.-al.
antônimo,ant.
antiguidade bizantina,ant. biz.
antiguidade clássica,ant. clás.
antiguidade egípcia,ant. egíp.
antiguidade grega,ant. gr.
antiguidade hebraica,ant. hebr.
antiguidade mexicana,ant. mex.
antiguidade oriental,ant. or.
antiguidade romana,ant. rom.
antecedente,antec.
antiguidade,antig.
antiquado,antiq.
antiquário,antiq.
antologia,antol.
antônimo,antôn.
antonomásia,anton.
antonomásia,antonom.
antroponímia,antr.
antropônimo,antr.
antropônimo feminino,antr. f.
antropônimo masculino,antr. m.
antropologia,antrop.
antropografia,antropogr.
antropologia,antropol.
antroponímia,antropon.
antropônimo,antropôn.
antropônimo feminino,antropôn. fem.
antropônimo masculino,antropôn. masc.
anuário,anu.
apartamento,ap.
apêndice,ap.
aprovado,ap.
"apud, em, de, entre",ap.
apartamento,apart.
apêndice,apênd.
apicultura,apic.
aplicado,apl.
apócope,apóc.
aportuguesado,aport.
aportuguesamento,aport.
aportuguesamento,aportg.
aportuguesamento,aportug.
aproximadamente,aprox.
aproximativa,aprox.
apartamento,ap.
aquavia,aq.
argônio,Ar
árabe,ár.
arábico,ar.
arco cuja tangente é,Ar. tang.
arameu,ara.
